corpus_id;sentence_position;position;value
3;1;14;z'
3;1;15;Schlettstàdt
3;1;16;";"
3;1;17;†
3;1;18;12.
3;1;19;Dezamber
3;1;20;1478
3;1;21;z'
3;1;22;Stroßburri
3;1;23;)
3;1;24;ìsch
3;1;25;ìn
3;1;26;dr
3;1;27;Zitt
3;1;28;vu
3;1;29;da
3;1;30;Ìnkunàwel
3;1;31;a
3;1;32;ditscher
3;1;33;Büechdrucker
3;1;34;un
3;1;35;Büechhàndler
3;1;36;gsìì
3;1;37;.
3;2;1;Ànna
3;2;1;1466
3;2;2;hàt
3;2;3;'r
3;2;4;d
3;2;5;erschta
3;2;6;druckta
3;2;7;Bibel
3;2;8;ìn
3;2;9;hochditscha
3;2;10;Sproch
3;2;11;(
3;2;12;Mentelin-Bibel
3;2;13;)
3;2;14;veräffentligt
3;2;15;.
3;3;1;Lawa
3;3;1;Dr
3;3;2;Johannes
3;3;3;Mentelin
3;3;4;ìsch
3;3;5;ànna
3;3;6;1440
3;3;7;uf
3;3;8;Stroßburri
3;3;9;kumma
3;3;10;.
3;4;1;Àls
3;4;1;Berüef
3;4;2;ìsch
3;4;3;'r
3;4;4;zeerscht
3;4;5;„
3;4;6;Guldschriiwer
3;4;7;“
3;4;8;(
3;4;9;Kalligraph
3;4;10;un
3;4;11;Büechschriiwer
3;4;12;)
3;4;13;gsìì
3;4;14;un
3;4;15;hàt
3;4;16;noochhar
3;4;17;àls
3;4;18;bìschäfliger
3;4;19;Notàr
3;4;20;gschàft
3;4;21;.
3;5;1;Dr
3;5;1;Mentelin
3;5;2;hàt
3;5;3;sina
3;5;4;Stroßburger
3;5;5;Druckarèi
3;5;6;àm
3;5;7;And
3;5;8;vu
3;5;9;da
3;5;10;1450
3;5;11;Johra
3;5;12;grìnda
3;5;13;.
3;6;1;Ìm
3;6;1;Mìttelàlter
3;6;2;hàt
3;6;3;ma
3;6;4;„
3;6;5;Offizin
3;6;6;“
3;6;7;gsajt
3;6;8;fer
3;6;9;a
3;6;10;Büechdruckarèi
3;6;11;.
3;7;1;Ma
3;7;1;weiß
3;7;2;nìt
3;7;3;gnàui
3;7;4;wo
3;7;5;un
