corpus_name;sentence_position;position;value
wikipedia1;13;6;Stroßburri
wikipedia1;13;7;s
wikipedia1;13;8;Museum
wikipedia1;13;9;àbkàuift
wikipedia1;13;10;.
wikipedia1;14;1;Zwei
wikipedia1;14;2;Gebäi
wikipedia1;14;3;nawadràà
wikipedia1;14;4;sìn
wikipedia1;14;5;aui
wikipedia1;14;6;kàuift
wikipedia1;14;7;worra
wikipedia1;14;8;,
wikipedia1;14;9;s
wikipedia1;14;10;Museum
wikipedia1;14;11;hàt
wikipedia1;14;12;sìch
wikipedia1;14;13;vergreeßert
wikipedia1;14;14;,
wikipedia1;14;15;ìm
wikipedia1;14;16;Ràhma
wikipedia1;14;17;vu
wikipedia1;14;18;da
wikipedia1;14;19;Stàdtmuseum
wikipedia1;14;20;vu
wikipedia1;14;21;Stroßburri
wikipedia1;14;22;.
wikipedia1;15;1;Zwìscha
wikipedia1;15;2;1969
wikipedia1;15;3;un
wikipedia1;15;4;1985
wikipedia1;15;5;hàt
wikipedia1;15;6;dr
wikipedia1;15;7;Verwàlter
wikipedia1;15;8;Georges
wikipedia1;15;9;Klein
wikipedia1;15;10;Üstellunga
wikipedia1;15;11;ìwer
wikipedia1;15;12;verschìedena
wikipedia1;15;13;Thema
wikipedia1;15;14;ufbàuia
wikipedia1;15;15;.
wikipedia1;16;1;Ar
wikipedia1;16;2;hàt
wikipedia1;16;3;d
wikipedia1;16;4;Entwìcklung
wikipedia1;16;5;vum
wikipedia1;16;6;Museum
wikipedia1;16;7;ìn
wikipedia1;16;8;da
wikipedia1;16;9;zwei
wikipedia1;16;10;Gebäi
wikipedia1;16;11;nawadràà
wikipedia1;16;12;gfiahrt
wikipedia1;16;13;un
wikipedia1;16;14;nèia
wikipedia1;16;15;Saal
wikipedia1;16;16;ufgstellt
wikipedia1;16;17;.
wikipedia1;17;1;Zwei
wikipedia1;17;2;Saal
wikipedia1;17;3;ìm
wikipedia1;17;4;drìtta
wikipedia1;17;5;Stock
wikipedia1;17;6;sìn
wikipedia1;17;7;làng
wikipedia1;17;8;ìm
wikipedia1;17;9;Wark
wikipedia1;17;10;vum
wikipedia1;17;11;Pàschtor
wikipedia1;17;12;un
wikipedia1;17;13;Pädagoge
wikipedia1;17;14;Jean-Frédéric
wikipedia1;17;15;Oberlin
wikipedia1;17;16;gwìdmet
wikipedia1;17;17;gsìì
wikipedia1;17;18;.
wikipedia1;18;1;Wo
wikipedia1;18;2;,
wikipedia1;18;3;ànna
